Page,Frame,Motor 1,Motor 2,Motor 3,Motor 4,Motor 5,Motor 6,Motor 7,Motor 8,Motor 9,Motor 10,Motor 11,Motor 12,Motor 13,Motor 14,Motor 15,Motor 16,Motor 17,Motor 18
1 Bow,37,-51.86,51.56,-68.26,67.97,-14.65,14.36,-46.58,46.29,-1.17,0.88,-48.34,48.05,-67.38,67.09,30.76,-31.05,-1.17,0.88
1 Bow,99,-65.62,65.33,-67.97,67.68,-89.65,89.36,-46.58,46.29,-1.17,0.88,-48.34,48.05,-67.38,67.09,30.76,-31.05,-1.17,0.88
1 Bow,224,-8.5,8.2,-67.97,67.68,-89.65,89.36,-46.58,46.29,-1.17,0.88,-121.58,121.29,-67.38,67.09,10.25,-10.55,-1.17,0.88
1 Bow,286,-8.5,8.2,-67.97,67.68,-89.65,89.36,-46.58,46.29,-1.17,0.88,-121.58,121.29,-67.38,67.09,10.25,-10.55,-1.17,0.88
1 Bow,411,-65.62,65.33,-67.97,67.68,-89.65,89.36,-46.58,46.29,-1.17,0.88,-48.34,48.05,-67.38,67.09,30.76,-31.05,-1.17,0.88
1 Bow,448,-51.86,51.56,-68.26,67.97,-14.65,14.36,-46.58,46.29,-1.17,0.88,-48.34,48.05,-67.38,67.09,30.76,-31.05,-1.17,0.88
1 Bow,498,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-1.46,1.17,-50.1,49.8,-79.69,79.39,39.55,-39.84,-1.46,1.17
2 Bravo,250,84.38,-84.67,-40.72,40.43,-13.77,13.48,-46.58,46.29,-1.17,0.88,-4.39,4.1,-67.38,67.09,48.34,-48.63,-1.17,0.88
2 Bravo,312,84.38,-84.67,-84.67,84.38,-13.77,13.48,-46.58,46.29,-1.17,0.88,-4.39,4.1,-67.38,67.09,48.34,-48.63,-1.17,0.88
2 Bravo,374,84.38,-84.67,-40.72,40.43,-13.77,13.48,-46.58,46.29,-1.17,0.88,-4.39,4.1,-67.38,67.09,48.34,-48.63,-1.17,0.88
2 Bravo,436,84.38,-84.67,-84.67,84.38,-13.77,13.48,-46.58,46.29,-1.17,0.88,-4.39,4.1,-67.38,67.09,48.34,-48.63,-1.17,0.88
2 Bravo,498,84.38,-84.67,-40.72,40.43,-13.77,13.48,-46.58,46.29,-1.17,0.88,-4.39,4.1,-67.38,67.09,48.34,-48.63,-1.17,0.88
3,125,84.38,-84.67,-40.72,40.43,-13.77,13.48,-26.66,67.68,-4.98,2.34,8.79,14.65,-53.32,75.59,47.75,-46.88,-7.03,0.59
3,187,84.38,-84.67,-84.67,84.38,-13.77,13.48,-26.66,67.68,-4.98,2.34,8.79,14.65,-53.32,75.59,47.75,-46.88,-7.03,0.59
3,249,84.38,-84.67,-40.72,40.43,-13.77,13.48,-26.66,67.68,-4.98,2.34,8.79,14.65,-53.32,75.59,47.75,-46.88,-7.03,0.59
3,311,84.38,-84.67,-84.67,84.38,-13.77,13.48,-26.66,67.68,-4.98,2.34,8.79,14.65,-53.32,75.59,47.75,-46.88,-7.03,0.59
3,373,84.38,-84.67,-40.72,40.43,-13.77,13.48,-26.66,67.68,-4.98,2.34,8.79,14.65,-53.32,75.59,47.75,-46.88,-7.03,0.59
4,125,84.38,-84.67,-40.72,40.43,-13.77,13.48,-67.97,26.37,-2.64,4.69,-18.75,-9.08,-90.53,53.03,57.71,-48.05,2.34,6.74
4,187,84.38,-84.67,-84.67,84.38,-13.77,13.48,-67.97,26.37,-2.64,4.69,-18.75,-9.08,-90.53,53.03,57.71,-48.05,2.34,6.74
4,249,84.38,-84.67,-40.72,40.43,-13.77,13.48,-67.97,26.37,-2.64,4.69,-18.75,-9.08,-90.53,53.03,57.71,-48.05,2.34,6.74
4,311,84.38,-84.67,-84.67,84.38,-13.77,13.48,-67.97,26.37,-2.64,4.69,-18.75,-9.08,-90.53,53.03,57.71,-48.05,2.34,6.74
4,373,84.38,-84.67,-40.72,40.43,-13.77,13.48,-67.97,26.37,-2.64,4.69,-18.75,-9.08,-90.53,53.03,57.71,-48.05,2.34,6.74
4,560,-26.66,26.37,4.39,-4.69,-16.11,15.82,-46.58,46.29,-1.17,0.88,-4.39,4.1,-67.38,67.09,48.34,-48.63,-1.17,0.88
4,810,-81.15,80.86,-68.26,67.97,-14.65,14.36,-45.12,45.12,-1.46,1.17,-50.1,49.8,-79.69,79.39,39.55,-39.84,-1.46,1.17
